LWC_3401747987409220_02,", 我 投给 了 谢娜 和 张杰 这 5 <CL> 选项 。",选项,个,个,个,个
LWC_3404376626479722_01,看 春晚 已经 是 我 过年 当中 的 一 <CL> 习惯 了 希望 它 今年 能 给 大家 带 着 来 不 一样 的 感觉 央视 龙年 春晚 正版 节目单 曝光 来自,习惯,个,个,个,个
LWC_3401706719243540_02,", 我 投给 了 韩寒 这 1 <CL> 选项 。",选项,个,个,个,个
LWC_3403838109269180_01,今日 落雨 吹风会 好 冻 啊 我 后悔 只 穿 了 薄薄 的 三 <CL> 衣服 !,衣服,件,件,件,件
LWC_3403101819746979_01,其实 我 很 烦恼 只是 你 看 不 到 对 每 <CL> 人 都 说 还好 如果 我 也 不 开心 那 就 算 了,人,个,个,个,个
LWC_3403334121835048_01,"我 要 养 一 <CL> 阿狸招财 猫 , 立刻 , 马上 !",猫,只,只,只,只
LWC_3400641218021651_01,"快乐 真的 很 简单 , 只要 那么 一 <CL> 音乐 , 就 让 嘴 角 能够 翘起 。",音乐,点,首,点,点
LWC_3405432820927683_01,"上 周 淘宝 热销 去 妊娠纹 产品 前 20 <CL> 本 排行榜 根据 该 类别 在 所选 时间 内 成交 金额 , 成交 笔 数 , 成交 商品数 等 指标 综合 得出 。",排行榜,名,份,名,名
LWC_3402799939828172_01,我 在 这里 东门 步行街 西华宫 西南 自己 跑 出来 老 街 吃丸仔 这 <CL> 店 的 好多 年 了,店,间,家,家,家
LWC_3404179084958009_01,发表 了 一 <CL> 转载 博文 转载 九寨 归来 不 看 水 一,博文,篇,篇,篇,篇
LWC_3403537428180486_01,今年 第一 <CL> 炒菜阿 等 我 以后 手艺 更 好 的 时候 天天 炒菜 给 你 吃 哈哈哈,炒菜阿,次,个,次,次
LWC_3403020466290523_01,有 两 <CL> 女人 一点 也 不 简单 !,女人,个,个,个,个
LWC_3400167741156460_01,行尸走肉 第 7 <CL> 后 进入 冬 歇期,进入,集,次,集,集
LWC_3401148109043147_02,是 因为 今年 有 多 <CL> 黑色 星期五 吗 ?,星期五,个,个,个,个
LWC_3402300381228527_03,"就 在 你 以为 一切 都 将 水到渠成 的 时候 他 说 他 从没 对 你 有 过 这 <CL> 想法 , 这 是 你 的 误会 。",想法,种,个,种,种
LWC_3406341912065588_01,伊朗 一 <CL> F14 战斗机 坠毁 两 人 遇难 分享自,战斗机,架,架,架,架
LWC_3404565120959949_06,结果 看到 这 哥们 我 表示 现在 必须 立刻 马上 去 冲 <CL> 热水澡 !,热水澡,个,个,个,个
LWC_3407010790212645_03,"这 <CL> 歌 刚 出 的 时候 菲迷 普遍 觉得 完全 是 照着 陈奕迅 的 Key 写 的 , 王菲唱 的 转音 略 微妙 。",歌,首,首,首,首
LWC_3406496140828774_01,"做 一 <CL> 桌 球 , 承受 撞击 , 感受 坠落 。",球,颗,个,张,个
LWC_3400242512906096_01,"昨日 沪市 放出 一 <CL> 大 阳线 , 完全 引发 了 市场 活跃度 。",阳线,根,根,根,根
LWC_3403203976930994_01,"身价 计算 报告 東哥 Sad , 你 现在 的 身价 是 5 万 , 身价 状态 每 天 204 <CL> 的 速度 上涨 快来 算算 你 的 身价 吧 !",速度,块,块,块,块
